"id","debutYear","freq","City","State","Country","lat","long","csum"
4,1985,1,"Honolulu"," HI"," USA",21.304547,-157.855676,11
4,1986,0,"Honolulu"," HI"," USA",21.304547,-157.855676,11
4,1987,1,"Honolulu"," HI"," USA",21.304547,-157.855676,12
4,1988,1,"Honolulu"," HI"," USA",21.304547,-157.855676,13
4,1989,1,"Honolulu"," HI"," USA",21.304547,-157.855676,14
4,1990,0,"Honolulu"," HI"," USA",21.304547,-157.855676,14
4,1991,0,"Honolulu"," HI"," USA",21.304547,-157.855676,14
4,1992,0,"Honolulu"," HI"," USA",21.304547,-157.855676,14
4,1993,0,"Honolulu"," HI"," USA",21.304547,-157.855676,14
4,1994,0,"Honolulu"," HI"," USA",21.304547,-157.855676,14
4,1995,0,"Honolulu"," HI"," USA",21.304547,-157.855676,14
4,1996,0,"Honolulu"," HI"," USA",21.304547,-157.855676,14
4,1997,0,"Honolulu"," HI"," USA",21.304547,-157.855676,14
4,1998,1,"Honolulu"," HI"," USA",21.304547,-157.855676,15
4,1999,0,"Honolulu"," HI"," USA",21.304547,-157.855676,15
4,2000,1,"Honolulu"," HI"," USA",21.304547,-157.855676,16
4,2001,0,"Honolulu"," HI"," USA",21.304547,-157.855676,16
4,2002,1,"Honolulu"," HI"," USA",21.304547,-157.855676,17
4,2003,2,"Honolulu"," HI"," USA",21.304547,-157.855676,19
4,2004,0,"Honolulu"," HI"," USA",21.304547,-157.855676,19
4,2005,0,"Honolulu"," HI"," USA",21.304547,-157.855676,19
4,2006,2,"Honolulu"," HI"," USA",21.304547,-157.855676,21
4,2007,1,"Honolulu"," HI"," USA",21.304547,-157.855676,22
4,2008,0,"Honolulu"," HI"," USA",21.304547,-157.855676,22
4,2009,0,"Honolulu"," HI"," USA",21.304547,-157.855676,22
4,2010,0,"Honolulu"," HI"," USA",21.304547,-157.855676,22
4,2011,0,"Honolulu"," HI"," USA",21.304547,-157.855676,22
4,2012,0,"Honolulu"," HI"," USA",21.304547,-157.855676,22
4,2013,0,"Honolulu"," HI"," USA",21.304547,-157.855676,22
4,2014,0,"Honolulu"," HI"," USA",21.304547,-157.855676,22
